"id_produk";"Title";"Price";"Luas_Bangunan";"Luas_Tanah";"Kamar_Tidur";"Tipe_Properti";"Tipe_Penawaran";"Lokasi"
"6127";"Green Garden Residence Juanda Dp Hanya 200 Juta Angsuran 5 Juta Flat 15 Thun";"500000000";"50";"108";"2";"Rumah";"Dijual";"Sidoar"
"6128";"Rumah Murah Puri Surya Jaya Gedangan Kota Sidoarjo Hadap Barat Laut";"1800000000";"130";"240";"3";"Rumah";"Dijual";"Sidoar"
"6129";"RUMAH MURAH BUMI SUKO INDAH SIDOARJO";"550000000";"60";"120";"2";"Rumah";"Dijual";"Sidoar"
"6130";"Rumah Modern Pondok Chandra – Palem Utara MD";"1300000000";"150";"75";"3";"Rumah";"Dijual";"Sidoar"
"6131";"Rumah Strategis Murah Sidoarjo";"635000000";"60";"112";"2";"Rumah";"Dijual";"Sidoar"
"6132";"Rumah Plus Usaha Alfamart Bagus Lokasi Sangat Strategis di Sidoarjo";"2147483647";"300";"293";"5";"Rumah";"Dijual";"Sidoar"
"6133";"DI JUAL 3 RUMAH BARU MEWAHHARGA TERJANGKAU PERUMAHAN PONDOK CHANDRA";"1100000000";"100";"60";"3";"Rumah";"Dijual";"Sidoar"
"6134";"Jual rumah sidoarjo Grand Deltasari";"600000000";"33";"72";"2";"Rumah";"Dijual";"Sidoar"
"6135";"Rumah Sudah Renov Wisma Tropodo";"750000000";"80";"114";"3";"Rumah";"Dijual";"Sidoar"
"6136";"rumah bagus siap huni sidoarjo";"2147483647";"330";"659";"5";"Rumah";"Dijual";"Sidoar"
"6137";"(BS) Rumah Citra Harmoni Sidoarjo Row Jalan Besar";"1600000000";"144";"162";"3";"Rumah";"Dijual";"Sidoar"
"6138";"Dijual Rumah 25 lt Pusat Kota Sidoarjo di Taman Pinang Indah";"1100000000";"250";"120";"3";"Rumah";"Dijual";"Sidoar"
"6139";"Rumah Aman Dan Nyaman Di Jl. Pondok Jati Geluran Sidoarjo";"1100000000";"40";"173";"2";"Rumah";"Dijual";"Sidoar"
"6140";"Rumah Perumahan Grand Surya Buduran - Sidoarjo";"670000000";"150";"90";"5";"Rumah";"Dijual";"Sidoar"
"6141";"Dijual Rumah Hook di Jalan Raya Kletek Taman Sidoarjo";"2000000000";"340";"250";"4";"Rumah";"Dijual";"Sidoar"
"6142";"Rumah 2 Lantai Pondok Tjandra Indah Waru Sidoarjo";"2000000000";"70";"300";"2";"Rumah";"Dijual";"Sidoar"
"6143";"(BLRI) Rumah Wisma Juanda Permai ";"700000000";"50";"105";"2";"Rumah";"Dijual";"Sidoar"
"6144";"RUMAH DI GEDANG PORONG SIDOARJO * BAGUS CANTIK *";"1800000000";"500";"400";"7";"Rumah";"Dijual";"Sidoar"
"6145";"Rumah Di Puri Surya Jaya Cluster Valencia Dekat Ke Bandara";"1000000000";"120";"120";"3";"Rumah";"Dijual";"Sidoar"
"6146";"Tipe terbaru Pondok Tjandra";"1600000000";"105";"105";"2";"Rumah";"Dijual";"Sidoar"
"6147";"Rumah baru dekat Juanda";"1300000000";"118";"83";"3";"Rumah";"Dijual";"Sidoar"
"6148";"ALANA CEMANDI TAHAP 3 START 390 JUTAAN BANYAK PROMO TERBATAS";"390000000";"36";"73";"2";"Rumah";"Dijual";"Sidoar"
"6149";"RUMAH 2 LANTAI PUSAT SIDOARJO DEKAT LIPPO MALL 800 JUTA-AN SMART HOME";"868000000";"44";"90";"2";"Rumah";"Dijual";"Sidoar"
"6150";"JUAL RUMAH TAMAN PONDOK JATI SIDOARJO";"1000000000";"128";"128";"3";"Rumah";"Dijual";"Sidoar"
"6151";"Dijual Rumah second terawat Komplex Exclusive @Waru";"1300000000";"144";"144";"4";"Rumah";"Dijual";"Sidoar"
